,id_user,id_event,nama_event,lokasi,harga_tiket,durasi,timestamp,genre,nama_musisi,rating,lat,lng,id_event_organizer
0,528,2677,The Lonely Carnival,3043,819816,2,1675728000,Pop,Padi,5.0,37.416,-122.152,3
1,1164,1576,Acoustic Arena,1161,944923,2,1676332800,Pop,Payung Teduh,5.0,37.416,-122.152,11
2,1168,1737,Dance Drill,2404,1407616,3,1677888000,Pop,Kangen Band,5.0,40.722,-74.0,9
3,1992,180,Jakarta International Bazaar,3835,1336467,4,1679875200,Jazz,HIVI!,1.0,37.484,-122.149,46
4,695,105,Indonesia International Furniture Expo,1923,1163292,3,1675296000,Pop,Isyana Sarasvati,1.0,30.691,-88.044,15
5,280,282,Indigoing Music,7265,1457590,2,1673913600,Pop,Dewa 19,2.0,34.181,-118.536,13
6,141,2522,The Ultimate Spring Fest,6081,1294087,3,1680048000,Pop,HIVI!,5.0,47.537,-122.28,5
7,1190,2121,Queen’s Music Mela,3858,868304,2,1676592000,Pop,Sheila On 7,5.0,43.051,-89.473,22
8,483,2240,Paradise Haven Festival,7597,865872,1,1674000000,Jazz,Gigi,5.0,38.917,-77.027,36
9,705,1636,SeeTheLight,8160,959673,3,1672704000,Jazz,Bunga Citra Lestari,5.0,40.116,-75.185,28
10,370,632,Cosmopolitan Cassette,5745,1090081,3,1676246400,Jazz,Gigi,4.0,38.685,-85.792,41
11,1532,1979,Dancing Beats,8133,1311121,1,1675814400,Pop,Gigi,5.0,38.42,-82.445,4
12,1937,1423,Rave Names: 779+ Super Cool And Catchy Names,9338,1425685,2,1675036800,Jazz,Agnes Monica,5.0,34.455,-118.418,32
13,783,964,Acousitic Virtuoso Festival,2742,1387958,4,1674604800,Pop,Naff,5.0,33.236,-111.79,11
14,734,2479,Magnetic Summer Festival,5621,1446643,1,1682899200,Jazz,Dewa 19,5.0,33.858,-84.633,33
15,1947,1434,Music in the Valley,4940,1055771,1,1682380800,Pop,Armada,5.0,40.093,-82.992,25
16,1652,2643,It’s A Monkey Business,5485,805045,4,1673481600,Jazz,Element,5.0,34.102,-118.304,46
17,657,2765,Counting More Than 3,3396,1224875,1,1677628800,Pop,Naff,5.0,39.965,-75.15,18
18,1704,1793,Popex Musicals,6970,1141900,2,1676592000,Jazz,Isyana Sarasvati,5.0,35.91,-79.057,41
19,1531,1605,Music in the Valley,4002,996149,3,1682380800,Jazz,Sheila On 7,5.0,35.151,-106.62,48
20,1011,2865,Red Lipstick And Red Wine,5193,1089468,4,1678492800,Jazz,Dewa 19,5.0,41.552,-88.106,28
21,171,693,House Party,5020,1087659,4,1679616000,Pop,Isyana Sarasvati,5.0,35.595,-82.555,10
22,1168,2034,Euphonic Entertainment,4743,1122621,4,1678579200,Jazz,Isyana Sarasvati,5.0,41.078,-81.511,47
23,1392,915,Stomping Grounds,2561,1185746,3,1675209600,Jazz,Bunga Citra Lestari,5.0,41.836,-86.239,29
24,1552,574,Frolicking Folklore,2102,1116097,3,1680739200,Pop,Bunga Citra Lestari,4.0,36.759,-119.801,9
25,1872,1289,Booze And Bop,5752,935394,3,1672704000,Jazz,Vierra,5.0,41.418,-87.365,43
26,1879,1164,Yolo Fun,8936,1409309,1,1674777600,Jazz,Slank,5.0,40.087,-88.249,37
27,887,775,Dance Overload,7847,1198813,1,1682899200,Pop,Kangen Band,5.0,37.974,-87.581,23
28,259,2029,Multitrack Live,3897,1215755,2,1682726400,Jazz,Geisha,5.0,43.257,-88.195,33
29,286,701,In The Clouds,9393,855243,1,1676592000,Jazz,Element,4.0,28.54,-81.391,28
30,1498,2331,Colorful Macaron Fair,6075,1237878,4,1673740800,Pop,Armada,5.0,52.115,-106.588,21
31,112,2822,Glory Fiesta,1424,1344377,1,1682553600,Jazz,Isyana Sarasvati,5.0,33.617,-112.242,41
32,499,195,Ubud Writers & Readers Festival,4445,1022451,3,1684022400,Pop,Padi,1.0,38.986,-95.231,11
33,1939,1869,Echo Affairs,669,1117084,1,1681948800,Pop,Gigi,5.0,33.801,-112.268,4
